iter	Logloss
0	0.6394095662
1	0.5963627523
2	0.5628255208
3	0.5358051961
4	0.5158434448
5	0.4981079305
6	0.4849575602
7	0.4743215332
8	0.4659512939
9	0.4591485392
10	0.4535374959
11	0.4491603394
12	0.445381368
13	0.4419386597
14	0.4398737996
15	0.4378936564
16	0.4354983724
17	0.4340274048
18	0.4326855062
19	0.4315197144
20	0.4305407918
21	0.4293169149
22	0.4284981689
23	0.4277136637
24	0.4270546265
25	0.4262249756
26	0.4258143311
27	0.4249945068
28	0.4243957926
29	0.4239359741
30	0.4234766235
31	0.422986735
32	0.4225767008
33	0.4222074178
34	0.4218107096
35	0.4214505615
36	0.4210553996
37	0.42068632
38	0.4200964966
39	0.4198160197
40	0.4194827271
41	0.4192005615
42	0.4189393514
43	0.4185592855
44	0.4183217367
45	0.418094279
46	0.4179190674
47	0.4175861816
48	0.4173973389
49	0.4169516195
50	0.4166098226
51	0.4164123739
52	0.4161287231
53	0.4158842367
54	0.41556486
55	0.4152856038
56	0.4150742594
57	0.4147664591
58	0.4144971924
59	0.414294515
60	0.4140029297
61	0.4135786133
62	0.4133839925
63	0.4131057129
64	0.4128725382
65	0.4126376953
66	0.4124538371
67	0.4121265055
68	0.4119483643
69	0.4115652262
70	0.4112667236
71	0.4109384766
72	0.4107427572
73	0.410565389
74	0.4103973592
75	0.4101997477
76	0.4099988403
77	0.4098670858
78	0.4096305949
79	0.4094539591
80	0.4092911784
81	0.4090952759
82	0.4088664551
83	0.4086836955
84	0.4085185954
85	0.4083472493
86	0.4081358643
87	0.4079100138
88	0.407767395
89	0.407614624
90	0.4072852376
91	0.4071761475
92	0.4069998576
93	0.4068448486
94	0.4065985514
95	0.4064459025
96	0.4063054606
97	0.4060447591
98	0.4058788045
99	0.4056450806
