iter	Passed	Remaining
0	72	7216
1	135	6656
2	183	5924
3	229	5518
4	282	5360
5	321	5041
6	371	4931
7	415	4780
8	480	4856
9	517	4660
10	565	4573
11	616	4521
12	656	4391
13	696	4281
14	744	4218
15	782	4106
16	829	4048
17	877	3997
18	925	3945
19	961	3844
20	1013	3814
21	1073	3806
22	1111	3720
23	1156	3663
24	1193	3580
25	1251	3562
26	1287	3479
27	1326	3411
28	1377	3371
29	1422	3319
30	1458	3247
31	1504	3197
32	1549	3145
33	1590	3086
34	1638	3043
35	1704	3029
36	1744	2970
37	1783	2910
38	1834	2869
39	1870	2805
40	1919	2762
41	1953	2698
42	1997	2648
43	2035	2590
44	2082	2545
45	2129	2500
46	2177	2455
47	2224	2410
48	2280	2373
49	2325	2325
50	2363	2271
51	2407	2221
52	2444	2168
53	2478	2111
54	2541	2079
55	2593	2037
56	2673	2017
57	2721	1970
58	2766	1922
59	2818	1878
60	2892	1849
61	2941	1802
62	2990	1756
63	3036	1708
64	3090	1664
65	3129	1612
66	3166	1559
67	3210	1510
68	3237	1454
69	3264	1399
70	3297	1346
71	3331	1295
72	3360	1242
73	3384	1189
74	3420	1140
75	3447	1088
76	3478	1039
77	3512	990
78	3551	944
79	3585	896
80	3626	850
81	3650	801
82	3699	757
83	3734	711
84	3765	664
85	3803	619
86	3843	574
87	3877	528
88	3905	482
89	3930	436
90	3959	391
91	3990	347
92	4015	302
93	4044	258
94	4073	214
95	4110	171
96	4139	128
97	4167	85
98	4199	42
99	4224	0
