iter	Logloss
0	0.6707383219
1	0.6499732666
2	0.631212972
3	0.6138063354
4	0.5988797607
5	0.5842642212
6	0.5713319906
7	0.5597507324
8	0.5487958577
9	0.539314738
10	0.5306124878
11	0.5225885824
12	0.5149493815
13	0.507608846
14	0.5014550374
15	0.4956482544
16	0.4901651815
17	0.485484965
18	0.4812703857
19	0.4773499552
20	0.4734896444
21	0.4701182861
22	0.4670522461
23	0.4641330973
24	0.4618736979
25	0.4595450846
26	0.4571530762
27	0.4550533651
28	0.4532266846
29	0.4513656413
30	0.4496888021
31	0.4480886841
32	0.4465279338
33	0.4453110758
34	0.4439804688
35	0.4426609701
36	0.4414375
37	0.4404555054
38	0.4395532227
39	0.4385858561
40	0.4377003174
41	0.4369482422
42	0.4361570028
43	0.4353265991
44	0.4346704102
45	0.4341906738
46	0.4336814982
47	0.432957194
48	0.4323983968
49	0.4319724528
50	0.4314644775
51	0.4310565592
52	0.4306024373
53	0.430164327
54	0.4297294312
55	0.429428833
56	0.4289365031
57	0.4285916748
58	0.4282229411
59	0.4278857015
60	0.427610494
61	0.4272932129
62	0.426981486
63	0.4267634481
64	0.4265053304
65	0.4262164917
66	0.4259680583
67	0.4256982829
68	0.4255133464
69	0.4252844645
70	0.4251081746
71	0.4248834839
72	0.4246656494
73	0.4243733927
74	0.4242666016
75	0.4241476237
76	0.4239220378
77	0.4237731323
78	0.4235700684
79	0.4234197388
80	0.4232541707
81	0.4230572103
82	0.4228793538
83	0.4226734619
84	0.4224183146
85	0.4222999268
86	0.4221800537
87	0.4219969279
88	0.4218417562
89	0.4216210734
90	0.4214373372
91	0.4212908936
92	0.4210488281
93	0.4208641357
94	0.4206924642
95	0.4205596924
96	0.420368632
97	0.4201691895
98	0.4200796712
99	0.4199407552
100	0.4197138468
101	0.4195824788
102	0.419427002
103	0.4193176473
104	0.4191850993
105	0.4189621989
106	0.4188254598
107	0.4186981405
108	0.4186037598
109	0.4184986979
110	0.4183793945
111	0.4181878662
112	0.4180284424
113	0.4178827515
114	0.4177051799
115	0.4175525309
116	0.417444519
117	0.417280721
118	0.4171946208
119	0.4170297445
120	0.4169124146
121	0.4167722575
122	0.4166277669
123	0.4164905802
124	0.4163790283
125	0.4162637533
126	0.4161415202
127	0.4160498861
128	0.4159267375
129	0.4159029541
130	0.4157700399
131	0.4156917318
132	0.4155435588
133	0.4153341878
134	0.4152162272
135	0.4151621908
136	0.4150885417
137	0.4149869588
138	0.4149199219
139	0.4148310343
140	0.4147032878
141	0.414519043
142	0.414422404
143	0.414340922
144	0.4142218018
145	0.4141498413
146	0.4140800578
147	0.4139912109
148	0.4138439128
149	0.4137504069
150	0.4136463623
151	0.4135284424
152	0.4134231974
153	0.4133538411
154	0.4131591593
155	0.4130648193
156	0.4129872843
157	0.4128088582
158	0.4127194824
159	0.4126217855
160	0.4125407918
161	0.4124381307
162	0.4123290812
163	0.4122704061
164	0.4121726685
165	0.4120977783
166	0.411976298
167	0.4118838704
168	0.4117844645
169	0.4117027181
170	0.4116466471
171	0.4114728394
172	0.4113996379
173	0.4112843831
174	0.4111473592
175	0.4109955648
176	0.4109371745
177	0.4108876139
178	0.4107517904
179	0.4106835124
180	0.4106294759
181	0.4105256144
182	0.4104708862
183	0.4103186442
184	0.4102067464
185	0.4101403605
186	0.4100790812
187	0.4099838053
188	0.4099129639
189	0.4097896932
