iter	Passed	Remaining
0	143	143359
1	166	82988
2	198	65895
3	225	56117
4	248	49394
5	274	45472
6	300	42564
7	326	40443
8	348	38357
9	373	36939
10	412	37103
11	457	37661
12	480	36486
13	510	35941
14	614	40355
15	643	39551
16	671	38811
17	696	37986
18	722	37297
19	749	36733
20	773	36056
21	798	35502
22	824	35024
23	850	34579
24	866	33811
25	889	33340
26	924	33322
27	951	33043
28	976	32689
29	1001	32381
30	1037	32430
31	1066	32261
32	1103	32349
33	1131	32138
34	1163	32071
35	1189	31856
36	1216	31655
37	1239	31377
38	1265	31186
39	1289	30951
40	1317	30815
41	1342	30615
42	1365	30384
43	1388	30167
44	1426	30272
45	1450	30076
46	1475	29917
47	1499	29737
48	1529	29683
49	1558	29611
50	1582	29443
51	1607	29309
52	1633	29182
53	1657	29037
54	1686	28972
55	1712	28859
56	1741	28809
57	1766	28696
58	1790	28562
59	1831	28696
60	1856	28581
61	1882	28476
62	1905	28342
63	1937	28331
64	1966	28292
65	1989	28160
66	2017	28098
67	2041	27978
68	2070	27943
69	2097	27869
70	2120	27746
71	2147	27678
72	2177	27646
73	2202	27558
74	2227	27468
75	2250	27364
76	2289	27442
77	2314	27354
78	2340	27287
79	2367	27224
80	2393	27154
81	2423	27131
82	2446	27027
83	2471	26951
84	2501	26928
85	2524	26829
86	2550	26763
87	2573	26674
88	2601	26627
89	2624	26532
90	2651	26489
91	2674	26392
92	2700	26339
93	2729	26311
94	2762	26314
95	2785	26229
96	2816	26221
97	2848	26215
98	2870	26126
99	2895	26058
100	2961	26361
101	2984	26274
102	3010	26215
103	3033	26136
104	3066	26134
105	3093	26086
106	3116	26005
107	3141	25948
108	3167	25889
109	3192	25832
110	3223	25820
111	3247	25746
112	3277	25724
113	3301	25656
114	3327	25608
115	3355	25574
116	3380	25511
117	3406	25459
118	3428	25380
119	3454	25332
120	3478	25272
121	3507	25241
122	3531	25178
123	3557	25132
124	3581	25068
125	3620	25115
126	3643	25046
127	3677	25051
128	3707	25033
129	3720	24895
130	3742	24826
131	3769	24790
132	3809	24830
133	3837	24802
134	3860	24738
135	3885	24686
136	3907	24613
137	3938	24602
138	3964	24557
139	3987	24497
140	4014	24456
141	4058	24520
142	4083	24474
143	4107	24413
144	4140	24416
145	4166	24372
146	4190	24316
147	4218	24285
148	4261	24336
149	4283	24274
150	4309	24230
151	4333	24176
152	4361	24142
153	4385	24094
154	4412	24056
155	4435	23998
156	4477	24040
157	4501	23988
158	4529	23958
159	4569	23988
160	4594	23942
161	4617	23883
162	4645	23854
163	4676	23837
164	4699	23781
165	4725	23739
166	4748	23686
167	4778	23663
168	4809	23648
169	4832	23592
170	4857	23547
171	4881	23498
172	4913	23487
173	4941	23459
174	4968	23424
175	4992	23375
176	5021	23346
177	5046	23302
178	5073	23270
179	5095	23214
180	5124	23186
181	5152	23159
182	5177	23116
183	5203	23077
184	5226	23026
185	5255	22998
186	5279	22954
187	5303	22904
188	5335	22893
189	5363	22865
190	5386	22816
191	5412	22779
192	5440	22748
193	5469	22723
194	5495	22685
195	5517	22633
196	5548	22617
197	5588	22635
198	5615	22603
199	5639	22557
200	5664	22516
201	5694	22495
202	5719	22454
203	5747	22426
204	5774	22392
205	5807	22383
206	5830	22337
207	5856	22300
208	5879	22251
209	5905	22214
210	5932	22184
211	5958	22147
212	5981	22100
213	6010	22075
214	6043	22065
215	6068	22026
216	6092	21982
217	6117	21943
218	6144	21911
219	6171	21880
220	6194	21833
221	6219	21797
222	6243	21755
223	6278	21749
224	6301	21705
225	6328	21673
226	6351	21629
227	6380	21604
228	6408	21575
229	6431	21531
230	6457	21498
231	6483	21462
232	6510	21430
233	6533	21388
234	6559	21353
235	6583	21311
236	6611	21285
237	6634	21240
238	6667	21230
239	6696	21204
240	6723	21175
241	6745	21128
242	6775	21106
243	6798	21063
244	6828	21041
245	6854	21010
246	6882	20983
247	6908	20949
248	6934	20914
249	6959	20878
250	6984	20842
251	7007	20799
252	7042	20793
253	7070	20767
254	7093	20724
255	7129	20720
256	7156	20690
257	7183	20659
258	7206	20618
259	7232	20584
260	7259	20554
261	7285	20521
262	7309	20483
263	7336	20454
264	7359	20412
265	7385	20379
266	7407	20337
267	7435	20308
268	7457	20265
269	7483	20232
270	7506	20192
271	7545	20194
272	7569	20158
273	7601	20141
274	7627	20108
275	7652	20073
276	7681	20048
277	7710	20024
278	7732	19983
279	7762	19961
280	7786	19923
281	7811	19889
282	7835	19851
283	7861	19820
284	7886	19785
285	7910	19747
286	7933	19709
287	7965	19691
288	7992	19663
289	8021	19638
290	8043	19598
291	8067	19561
292	8103	19553
293	8152	19576
294	8174	19535
295	8197	19495
296	8223	19465
297	8245	19425
298	8271	19392
299	8294	19352
300	8322	19327
301	8345	19288
302	8368	19249
303	8390	19210
304	8426	19200
305	8451	19167
306	8472	19126
307	8497	19091
308	8520	19055
309	8551	19035
310	8578	19005
311	8601	18967
312	8627	18936
313	8652	18903
314	8676	18868
315	8699	18830
316	8721	18791
317	8752	18771
318	8775	18734
319	8798	18695
320	8830	18677
321	8852	18640
322	8881	18615
323	8908	18586
324	8936	18561
325	8958	18521
326	8987	18496
327	9011	18463
328	9043	18444
329	9068	18412
330	9092	18377
331	9121	18352
332	9143	18314
333	9169	18285
334	9195	18254
335	9221	18222
336	9242	18182
337	9262	18142
338	9293	18120
339	9320	18092
340	9342	18055
341	9374	18035
342	9399	18004
343	9424	17971
344	9451	17944
345	9480	17920
346	9502	17882
347	9528	17851
348	9558	17829
349	9583	17798
350	9607	17764
351	9634	17735
352	9655	17697
353	9681	17667
354	9705	17633
355	9742	17624
356	9765	17589
357	9797	17568
358	9818	17531
359	9845	17503
360	9868	17467
361	9902	17452
362	9929	17424
363	9952	17389
364	9979	17360
365	10006	17334
366	10031	17301
367	10053	17265
368	10076	17230
369	10097	17193
370	10126	17168
371	10156	17146
372	10179	17111
373	10204	17079
374	10229	17048
375	10254	17017
376	10283	16993
377	10308	16962
378	10334	16932
379	10359	16902
380	10384	16871
381	10406	16835
382	10432	16806
383	10456	16773
384	10483	16746
385	10506	16711
386	10526	16673
387	10556	16651
388	10589	16632
389	10612	16599
390	10635	16565
391	10666	16544
392	10688	16509
393	10719	16488
394	10742	16453
395	10767	16422
396	10791	16391
397	10816	16360
398	10842	16332
399	10864	16297
400	10887	16263
401	10914	16236
402	10941	16209
403	10963	16174
404	10994	16152
405	11028	16135
406	11052	16103
407	11076	16071
408	11098	16037
409	11129	16015
410	11154	15984
411	11179	15955
412	11206	15927
413	11229	15895
414	11257	15869
415	11279	15834
416	11305	15805
417	11329	15773
418	11355	15746
419	11378	15712
420	11403	15683
421	11453	15687
422	11490	15674
423	11515	15643
424	11539	15612
425	11570	15589
426	11594	15559
427	11621	15530
428	11643	15498
429	11671	15471
430	11698	15443
431	11723	15413
432	11744	15379
433	11771	15352
434	11798	15323
435	11821	15291
436	11854	15272
437	11882	15246
438	11914	15225
439	11936	15192
440	11967	15169
441	11989	15136
442	12016	15109
443	12039	15076
444	12067	15050
445	12093	15022
446	12117	14991
447	12144	14963
448	12169	14933
449	12195	14906
450	12219	14874
451	12245	14846
452	12282	14831
453	12307	14801
454	12332	14771
455	12359	14744
456	12382	14712
457	12410	14687
458	12445	14669
459	12477	14647
460	12504	14620
461	12529	14590
462	12554	14561
463	12578	14529
464	12615	14514
465	12650	14496
466	12674	14465
467	12706	14443
468	12734	14417
469	12757	14385
470	12779	14352
471	12802	14321
472	12825	14289
473	12856	14266
474	12880	14236
475	12901	14202
476	12923	14170
477	12949	14141
478	12982	14120
479	13002	14085
480	13024	14053
481	13049	14024
482	13073	13993
483	13111	13978
484	13134	13947
485	13160	13918
486	13182	13885
487	13210	13859
488	13232	13828
489	13265	13806
490	13287	13774
491	13315	13748
492	13338	13717
493	13363	13687
494	13385	13656
495	13413	13629
496	13434	13596
497	13459	13567
498	13483	13537
499	13515	13515
500	13546	13492
501	13567	13459
502	13593	13431
503	13615	13399
504	13650	13380
505	13674	13349
506	13700	13321
507	13726	13293
508	13759	13272
509	13781	13241
510	13806	13212
511	13830	13182
512	13859	13157
513	13881	13125
514	13907	13097
515	13929	13066
516	13960	13042
517	13988	13016
518	14017	12990
519	14038	12958
520	14064	12930
521	14089	12901
522	14116	12874
523	14137	12842
524	14165	12816
525	14192	12789
526	14220	12763
527	14245	12734
528	14272	12707
529	14299	12680
530	14322	12650
531	14347	12621
532	14373	12593
533	14398	12565
534	14421	12534
535	14456	12514
536	14481	12485
537	14507	12457
538	14529	12427
539	14558	12401
540	14581	12371
541	14613	12348
542	14636	12318
543	14666	12293
544	14694	12267
545	14714	12235
546	14739	12206
547	14763	12176
548	14792	12151
549	14814	12120
550	14839	12092
551	14871	12069
552	14898	12042
553	14921	12012
554	14947	11985
555	14972	11956
556	14995	11926
557	15023	11900
558	15046	11870
559	15073	11843
560	15096	11813
561	15124	11787
562	15151	11760
563	15174	11730
564	15200	11703
565	15226	11675
566	15252	11647
567	15275	11617
568	15300	11589
569	15340	11572
570	15365	11544
571	15388	11514
572	15414	11486
573	15441	11459
574	15469	11433
575	15492	11404
576	15517	11375
577	15541	11347
578	15568	11320
579	15594	11292
580	15617	11263
581	15640	11233
582	15671	11209
583	15697	11181
584	15720	11151
585	15749	11126
586	15778	11101
587	15803	11073
588	15830	11046
589	15854	11017
590	15880	10989
591	15911	10966
592	15935	10936
593	15968	10914
594	15995	10887
595	16017	10857
596	16042	10829
597	16065	10800
598	16092	10773
599	16116	10744
600	16140	10715
601	16173	10692
602	16196	10663
603	16222	10636
604	16246	10606
605	16275	10581
606	16296	10551
607	16327	10526
608	16351	10498
609	16376	10470
610	16402	10442
611	16425	10413
612	16449	10384
613	16475	10357
614	16501	10329
615	16524	10301
616	16548	10272
617	16581	10249
618	16615	10227
619	16658	10209
620	16686	10183
621	16712	10156
622	16740	10130
623	16772	10106
624	16799	10079
625	16824	10051
626	16852	10025
627	16879	9998
628	16901	9969
629	16928	9942
630	16955	9915
631	16980	9887
632	17011	9862
633	17034	9833
634	17057	9804
635	17079	9774
636	17109	9749
637	17131	9720
638	17156	9692
639	17178	9663
640	17203	9635
641	17230	9608
642	17253	9579
643	17275	9549
644	17300	9521
645	17327	9495
646	17357	9470
647	17383	9442
648	17406	9413
649	17442	9391
650	17467	9364
651	17490	9335
652	17515	9307
653	17551	9285
654	17581	9260
655	17608	9233
656	17634	9206
657	17658	9178
658	17681	9149
659	17704	9120
660	17729	9092
661	17753	9064
662	17776	9035
663	17803	9009
664	17829	8981
665	17858	8956
666	17885	8929
667	17911	8901
668	17933	8872
669	17961	8846
670	17985	8818
671	18018	8794
672	18046	8768
673	18070	8740
674	18094	8712
675	18117	8683
676	18144	8656
677	18165	8627
678	18191	8600
679	18214	8571
680	18239	8544
681	18273	8520
682	18295	8491
683	18322	8464
684	18356	8441
685	18378	8412
686	18404	8385
687	18429	8357
688	18459	8332
689	18484	8304
690	18508	8276
691	18533	8248
692	18561	8222
693	18588	8195
694	18616	8169
695	18638	8141
696	18664	8113
697	18699	8090
698	18722	8061
699	18747	8034
700	18771	8006
701	18800	7980
702	18823	7952
703	18849	7925
704	18880	7900
705	18908	7874
706	18932	7846
707	18954	7817
708	18980	7790
709	19005	7762
710	19029	7735
711	19052	7706
712	19076	7678
713	19109	7654
714	19130	7625
715	19156	7598
716	19179	7570
717	19205	7543
718	19228	7514
719	19252	7487
720	19275	7458
721	19303	7432
722	19325	7404
723	19348	7375
724	19372	7348
725	19397	7320
726	19422	7293
727	19443	7264
728	19468	7237
729	19502	7213
730	19526	7185
731	19548	7157
732	19575	7130
733	19606	7105
734	19634	7079
735	19656	7050
736	19678	7022
737	19702	6994
738	19730	6968
739	19753	6940
740	19773	6911
741	19798	6884
742	19822	6856
743	19854	6831
744	19878	6803
745	19906	6777
746	19931	6750
747	19959	6724
748	19981	6696
749	20003	6667
750	20027	6640
751	20050	6612
752	20078	6586
753	20102	6558
754	20128	6531
755	20149	6503
756	20178	6477
757	20201	6449
758	20225	6421
759	20248	6394
760	20273	6367
761	20303	6341
762	20324	6313
763	20347	6285
764	20379	6260
765	20408	6234
766	20429	6206
767	20456	6179
768	20482	6152
769	20523	6130
770	20559	6106
771	20597	6083
772	20630	6058
773	20661	6032
774	20687	6006
775	20712	5978
776	20739	5952
777	20764	5925
778	20789	5897
779	20814	5870
780	20852	5847
781	20875	5819
782	20901	5792
783	20924	5764
784	20949	5737
785	20980	5712
786	21002	5684
787	21027	5657
788	21051	5629
789	21081	5603
790	21104	5576
791	21128	5548
792	21151	5521
793	21177	5494
794	21206	5468
795	21234	5441
796	21275	5419
797	21320	5396
798	21354	5371
799	21381	5345
800	21410	5319
801	21432	5291
802	21456	5263
803	21481	5236
804	21507	5209
805	21535	5183
806	21558	5155
807	21587	5129
808	21609	5101
809	21641	5076
810	21674	5051
811	21700	5024
812	21724	4996
813	21761	4972
814	21785	4945
815	21809	4917
816	21838	4891
817	21871	4866
818	21904	4840
819	21929	4813
820	21951	4786
821	21981	4760
822	22003	4732
823	22028	4705
824	22051	4677
825	22078	4650
826	22101	4623
827	22125	4596
828	22158	4570
829	22185	4544
830	22212	4517
831	22235	4489
832	22260	4462
833	22286	4435
834	22313	4409
835	22336	4381
836	22364	4355
837	22391	4328
838	22414	4301
839	22439	4274
840	22465	4247
841	22491	4220
842	22513	4192
843	22539	4166
844	22575	4141
845	22598	4113
846	22622	4086
847	22644	4058
848	22670	4032
849	22701	4006
850	22730	3979
851	22755	3952
852	22778	3925
853	22806	3898
854	22835	3872
855	22858	3845
856	22885	3818
857	22911	3791
858	22935	3764
859	22972	3739
860	23001	3713
861	23024	3686
862	23050	3659
863	23074	3632
864	23099	3605
865	23124	3578
866	23151	3551
867	23174	3524
868	23199	3497
869	23225	3470
870	23250	3443
871	23274	3416
872	23298	3389
873	23320	3362
874	23349	3335
875	23372	3308
876	23398	3281
877	23428	3255
878	23452	3228
879	23481	3202
880	23504	3174
881	23528	3147
882	23557	3121
883	23587	3095
884	23612	3068
885	23635	3041
886	23663	3014
887	23692	2988
888	23714	2960
889	23742	2934
890	23764	2907
891	23793	2880
892	23829	2855
893	23856	2828
894	23879	2801
895	23907	2775
896	23930	2747
897	23956	2721
898	23979	2694
899	24008	2667
900	24033	2640
901	24057	2613
902	24080	2586
903	24106	2560
904	24128	2532
905	24156	2506
906	24273	2488
907	24375	2469
908	24453	2448
909	24475	2420
910	24503	2393
911	24531	2367
912	24556	2340
913	24583	2313
914	24608	2285
915	24636	2259
916	24662	2232
917	24685	2205
918	24707	2177
919	24736	2151
920	24762	2124
921	24794	2097
922	24819	2070
923	24847	2043
924	24870	2016
925	24898	1989
926	24934	1963
927	24972	1937
928	25003	1910
929	25028	1883
930	25053	1856
931	25078	1829
932	25104	1802
933	25126	1775
934	25147	1748
935	25176	1721
936	25208	1694
937	25230	1667
938	25254	1640
939	25277	1613
940	25304	1586
941	25326	1559
942	25354	1532
943	25376	1505
944	25402	1478
945	25426	1451
946	25453	1424
947	25476	1397
948	25501	1370
949	25526	1343
950	25553	1316
951	25575	1289
952	25605	1262
953	25630	1235
954	25656	1208
955	25679	1181
956	25703	1154
957	25724	1127
958	25751	1100
959	25775	1073
